"docente","materia","nota_media"
60,"LEI2BA",5.97
60,"PIB1B",7.05
60,"PIB2B",8.04
60,"PIB4E",6.52
61,"AJE2E",7.21
61,"ATE2EA",7.61
61,"GENERAL",5.39
61,"MAA3E",5.14
61,"MAA4E",5.69
61,"MAB3E",2.79
61,"MAB4E",4.89
61,"MAT1B",5.71
61,"MAT1BA",5.87
61,"MAT1E",4.1
61,"MAT2B",6.45
61,"MAT2BA",6.27
61,"MAT2E",4.46
61,"MAT2EA",6.32
61,"MAT3EA",5.26
61,"MCS1BA",5.52
61,"MCS2BA",6.46
61,"MTA4EA",4.95
61,"MTB4EA",6.5
62,"GENERAL",7.26
62,"LEI2BA",6.83
62,"PIB2B",8.07
63,"ECO1B",6.4
63,"EEM2B",5.94
63,"FAG2B",6.52
63,"GENERAL",6.04
63,"IAE4E",4.99
67,"GENERAL",6.3
67,"IAE4E",6.3
69,"EFI1E",5.21
69,"EFI2E",6.93
69,"EFI4E",6.63
69,"GENERAL",6.54
70,"ATD1EA",0
70,"ATE1EA",7.34
70,"ATE4EA",7.18
70,"CAV3E",9.42
70,"CAV3EA",1
70,"CUA1B",7.41
70,"CUA2B",7.77
70,"DIT1BA",5
70,"EAR4EA",8.27
70,"EPV1E",7.61
70,"EPV1EA",7.7
70,"EPV2E",6.83
70,"EPV2EA",7.2
70,"EPV4E",8.33
70,"GENERAL",7.5
70,"YCP4EA",7.44
71,"GENERAL",5.33
71,"GHI1E",3.62
71,"HES2B",6.45
72,"GENERAL",6.16
72,"VET1E",5.58
72,"VET3E",6.55
73,"GENERAL",6.04
73,"GHI1E",7.23
73,"GHI2E",5.18
73,"HES2B",4.93
73,"HMC1B",6.38
74,"GENERAL",5.84
74,"MAA3E",5.25
74,"MAB3E",4.53
74,"MAB4E",4.69
74,"MAT1BA",5.78
74,"MAT1E",6.14
74,"MAT1EA",6.67
74,"MAT2B",5.83
74,"MAT2BA",6.87
74,"MAT2E",5.34
74,"MCS1B",5.55
74,"MCS2B",5.91
74,"MIN1BA",8.8
74,"MIN2BA",8.46
74,"MTB4EA",5.57
75,"GENERAL",7.01
75,"SFR1B",7.66
75,"SFR1E",6.78
75,"SFR2E",7.02
